100 4950
1 2 10
1 3 10
1 4 10
1 5 10
1 6 10
1 7 10
1 8 10
1 9 10
1 10 10
1 11 10
1 12 10
1 13 10
1 14 10
1 15 10
1 16 10
1 17 10
1 18 10
1 19 10
1 20 10
1 21 10
1 22 10
1 23 10
1 24 10
1 25 10
1 26 10
1 27 10
1 28 10
1 29 10
1 30 10
1 31 10
1 32 10
1 33 10
1 34 10
1 35 10
1 36 10
1 37 10
1 38 10
1 39 10
1 40 10
1 41 10
1 42 10
1 43 10
1 44 10
1 45 10
1 46 10
1 47 10
1 48 10
1 49 10
1 50 10
1 51 10
1 52 10
1 53 10
1 54 10
1 55 10
1 56 10
1 57 10
1 58 10
1 59 10
1 60 10
1 61 10
1 62 10
1 63 10
1 64 10
1 65 10
1 66 10
1 67 10
1 68 10
1 69 10
1 70 10
1 71 10
1 72 10
1 73 10
1 74 10
1 75 10
1 76 10
1 77 10
1 78 10
1 79 10
1 80 10
1 81 10
1 82 10
1 83 10
1 84 10
1 85 10
1 86 10
1 87 10
1 88 10
1 89 10
1 90 10
1 91 10
1 92 10
1 93 10
1 94 10
1 95 10
1 96 10
1 97 10
1 98 10
1 99 10
1 100 10
2 3 12
2 4 13
2 5 14
2 6 15
2 7 16
2 8 17
2 9 18
2 10 19
2 11 20
2 12 21
2 13 22
2 14 23
2 15 24
2 16 25
2 17 26
2 18 27
2 19 28
2 20 29
2 21 30
2 22 31
2 23 32
2 24 33
2 25 34
2 26 35
2 27 36
2 28 37
2 29 38
2 30 39
2 31 40
2 32 41
2 33 42
2 34 43
2 35 44
2 36 45
2 37 46
2 38 47
2 39 48
2 40 49
2 41 50
2 42 51
2 43 52
2 44 53
2 45 54
2 46 55
2 47 56
2 48 57
2 49 58
2 50 59
2 51 60
2 52 61
2 53 62
2 54 63
2 55 64
2 56 65
2 57 66
2 58 67
2 59 68
2 60 69
2 61 70
2 62 71
2 63 72
2 64 73
2 65 74
2 66 75
2 67 76
2 68 77
2 69 78
2 70 79
2 71 80
2 72 81
2 73 82
2 74 83
2 75 84
2 76 85
2 77 86
2 78 87
2 79 88
2 80 89
2 81 90
2 82 91
2 83 92
2 84 93
2 85 94
2 86 95
2 87 96
2 88 97
2 89 98
2 90 99
2 91 100
2 92 101
2 93 102
2 94 103
2 95 104
2 96 105
2 97 106
2 98 107
2 99 108
2 100 109
3 4 16
3 5 18
3 6 20
3 7 22
3 8 24
3 9 26
3 10 28
3 11 30
3 12 32
3 13 34
3 14 36
3 15 38
3 16 40
3 17 42
3 18 44
3 19 46
3 20 48
3 21 50
3 22 52
3 23 54
3 24 56
3 25 58
3 26 60
3 27 62
3 28 64
3 29 66
3 30 68
3 31 70
3 32 72
3 33 74
3 34 76
3 35 78
3 36 80
3 37 82
3 38 84
3 39 86
3 40 88
3 41 90
3 42 92
3 43 94
3 44 96
3 45 98
3 46 100
3 47 102
3 48 104
3 49 106
3 50 108
3 51 110
3 52 112
3 53 114
3 54 116
3 55 118
3 56 120
3 57 122
3 58 124
3 59 126
3 60 128
3 61 130
3 62 132
3 63 134
3 64 136
3 65 138
3 66 140
3 67 142
3 68 144
3 69 146
3 70 148
